M_CLIENT_NAME,M_TIMESTAMP,S_SPEED_X,S_SPEED_Y,S_SPEED_Z,S_RPM,S_GEAR,S_ANGLE,S_Z,S_DAMAGE,S_TRACK_POSITION,S_RACE_POSITION,S_DISTANCE_RACED,S_DISTANCE_FROM_START,S_CURRENT_LAPTIME,S_LAST_LAPTIME,A_ACCELERATION,A_BRAKE,A_GEAR,A_STEER,A_CLUTCH
SCR-CLIENT-CPP,+,1.45393,0.092491,0.089596,942,1,0.003042,0.339341,0,-0.334004,1,0.016113,2562.540039,0.3,0,1,0,1,0.463943,0
SCR-CLIENT-CPP,+,1.80325,0.131263,0.115013,942,1,0.002526,0.339363,0,-0.333882,1,0.025391,2562.550049,0.32,0,1,0,1,0.462369,0
SCR-CLIENT-CPP,+,2.08708,0.173793,0.141629,942,1,0.002005,0.339408,0,-0.333717,1,0.036621,2562.560059,0.34,0,1,0,1,0.460722,0
SCR-CLIENT-CPP,+,2.43561,0.177234,0.164815,942,1,0.001282,0.339504,0,-0.333534,1,0.049072,2562.570068,0.36,0,1,0,1,0.458499,0
SCR-CLIENT-CPP,+,2.7105,0.233312,0.18693,942,1,0.000556,0.339627,0,-0.333327,1,0.063477,2562.590088,0.38,0,1,0,1,0.456238,0
SCR-CLIENT-CPP,+,3.00389,0.223764,0.20707,942,1,-0.000389,0.339774,0,-0.333082,1,0.079346,2562.600098,0.4,0,1,0,1,0.453325,0
SCR-CLIENT-CPP,+,3.30971,0.254655,0.229517,942,1,-0.001453,0.339916,0,-0.332796,1,0.097168,2562.620117,0.42,0,1,0,1,0.450031,0
SCR-CLIENT-CPP,+,3.63434,0.266843,0.24889,942,1,-0.0026,0.340088,0,-0.33249,1,0.116455,2562.639893,0.44,0,1,0,1,0.446483,0
SCR-CLIENT-CPP,+,3.91309,0.292915,0.268719,942,1,-0.0038,0.340267,0,-0.332167,1,0.137451,2562.659912,0.46,0,1,0,1,0.442771,0
SCR-CLIENT-CPP,+,4.23379,0.309898,0.28832,942,1,-0.005097,0.340455,0,-0.331801,1,0.160156,2562.679932,0.48,0,1,0,1,0.438733,0
